Date,Trips
2018-01-01,702084
2018-01-02,547447
2018-01-03,583735
2018-01-04,354626
2018-01-05,699966
2018-01-06,793837
2018-01-07,676884
2018-01-08,595725
2018-01-09,583549
2018-01-10,591396
2018-01-11,613159
2018-01-12,717235
2018-01-13,761601
2018-01-14,719824
2018-01-15,565707
2018-01-16,593094
2018-01-17,628140
2018-01-18,658275
2018-01-19,708366
2018-01-20,717757
2018-01-21,617580
2018-01-22,552383
2018-01-23,586526
2018-01-24,614350
2018-01-25,672438
2018-01-26,738783
2018-01-27,749203
2018-01-28,649278
2018-01-29,565522
2018-01-30,608737
2018-01-31,640887
2018-02-01,650280
2018-02-02,787792
2018-02-03,810861
2018-02-04,751930
2018-02-05,615466
2018-02-06,613406
2018-02-07,717987
2018-02-08,693736
2018-02-09,759073
2018-02-10,837532
2018-02-11,709953
2018-02-12,600770
2018-02-13,640654
2018-02-14,692307
2018-02-15,678990
2018-02-16,733686
2018-02-17,806196
2018-02-18,674101
2018-02-19,569744
2018-02-20,565895
2018-02-21,606395
2018-02-22,705730
2018-02-23,756859
2018-02-24,803358
2018-02-25,708745
2018-02-26,597773
2018-02-27,616924
2018-02-28,644550
2018-03-01,719790
2018-03-02,875970
2018-03-03,792995
2018-03-04,716458
2018-03-05,633494
2018-03-06,655785
2018-03-07,632161
2018-03-08,721036
2018-03-09,775761
2018-03-10,823813
2018-03-11,688123
2018-03-12,637009
2018-03-13,669578
2018-03-14,701928
2018-03-15,738360
2018-03-16,784057
2018-03-17,829205
2018-03-18,701137
2018-03-19,618630
2018-03-20,678099
2018-03-21,508492
2018-03-22,715164
2018-03-23,753423
2018-03-24,788651
2018-03-25,704608
2018-03-26,620765
2018-03-27,643938
2018-03-28,668389
2018-03-29,710020
2018-03-30,729991
2018-03-31,748419
2018-04-01,626033
2018-04-02,567085
2018-04-03,618979
2018-04-04,615090
2018-04-05,659943
2018-04-06,706284
2018-04-07,756761
2018-04-08,707007
2018-04-09,633842
2018-04-10,646536
2018-04-11,667154
2018-04-12,696843
2018-04-13,760022
2018-04-14,852712
2018-04-15,765481
2018-04-16,690284
2018-04-17,662113
2018-04-18,669806
2018-04-19,749695
2018-04-20,791250
2018-04-21,822752
2018-04-22,706901
2018-04-23,615214
2018-04-24,639764
2018-04-25,716413
2018-04-26,703805
2018-04-27,787978
2018-04-28,829040
2018-04-29,726998
2018-04-30,657592
2018-05-01,629360
2018-05-02,669224
2018-05-03,736987
2018-05-04,756100
2018-05-05,829690
2018-05-06,683586
2018-05-07,610160
2018-05-08,630572
2018-05-09,660139
2018-05-10,725440
2018-05-11,747001
2018-05-12,834945
2018-05-13,733434
2018-05-14,619228
2018-05-15,689620
2018-05-16,740988
2018-05-17,731098
2018-05-18,754286
2018-05-19,859406
2018-05-20,679621
2018-05-21,595172
2018-05-22,667707
2018-05-23,661366
2018-05-24,695450
2018-05-25,718886
2018-05-26,727512
2018-05-27,652033
2018-05-28,538075
2018-05-29,612505
2018-05-30,649146
2018-05-31,726955
2018-06-01,778726
2018-06-02,832495
2018-06-03,724118
2018-06-04,615315
2018-06-05,593078
2018-06-06,640886
2018-06-07,679575
2018-06-08,719258
2018-06-09,772249
2018-06-10,679408
2018-06-11,618957
2018-06-12,632180
2018-06-13,691758
2018-06-14,723872
2018-06-15,722004
2018-06-16,773980
2018-06-17,683788
2018-06-18,658378
2018-06-19,674022
2018-06-20,694921
2018-06-21,734108
2018-06-22,768711
2018-06-23,785072
2018-06-24,694518
2018-06-25,634368
2018-06-26,638534
2018-06-27,664701
2018-06-28,740164
2018-06-29,747246
2018-06-30,818893
2018-07-01,717979
2018-07-02,635621
2018-07-03,671102
2018-07-04,598238
2018-07-05,625883
2018-07-06,659104
2018-07-07,701543
2018-07-08,645807
2018-07-09,616272
2018-07-10,648898
2018-07-11,671727
2018-07-12,693651
2018-07-13,753204
2018-07-14,813636
2018-07-15,719236
2018-07-16,656334
2018-07-17,719709
2018-07-18,679444
2018-07-19,693594
2018-07-20,758376
2018-07-21,861641
2018-07-22,721674
2018-07-23,647767
2018-07-24,658096
2018-07-25,722577
2018-07-26,715725
2018-07-27,811354
2018-07-28,803829
2018-07-29,714929
2018-07-30,622969
2018-07-31,636524
2018-08-01,695121
2018-08-02,719644
2018-08-03,769732
2018-08-04,813615
2018-08-05,726316
2018-08-06,648260
2018-08-07,687182
2018-08-08,701951
2018-08-09,718301
2018-08-10,764123
2018-08-11,807873
2018-08-12,697313
2018-08-13,668963
2018-08-14,661507
2018-08-15,685233
2018-08-16,717045
2018-08-17,784678
2018-08-18,823978
2018-08-19,700387
2018-08-20,611010
2018-08-21,613538
2018-08-22,657196
2018-08-23,680049
2018-08-24,743078
2018-08-25,797754
2018-08-26,714880
2018-08-27,639185
2018-08-28,679353
2018-08-29,710125
2018-08-30,715825
2018-08-31,763175
2018-09-01,1
2018-09-01,765027
2018-09-02,718121
2018-09-03,625851
2018-09-04,679351
2018-09-05,708196
2018-09-06,775496
2018-09-07,802020
2018-09-08,861540
2018-09-09,794608
2018-09-10,694524
2018-09-11,634342
2018-09-12,739611
2018-09-13,739641
2018-09-14,796806
2018-09-15,849628
2018-09-16,757308
2018-09-17,666133
2018-09-18,698213
2018-09-19,627881
2018-09-20,723583
2018-09-21,795820
2018-09-22,855979
2018-09-23,730338
2018-09-24,604204
2018-09-25,701934
2018-09-26,678997
2018-09-27,703746
2018-09-28,808315
2018-09-29,861873
2018-09-30,748335
2018-10-01,623541
2018-10-02,652464
2018-10-03,692346
2018-10-04,750763
2018-10-05,786528
2018-10-06,869777
2018-10-07,760031
2018-10-08,618361
2018-10-09,659187
2018-10-10,694048
2018-10-11,787433
2018-10-12,811486
2018-10-13,896063
2018-10-14,764479
2018-10-15,667119
2018-10-16,683428
2018-10-17,709446
2018-10-18,762184
2018-10-19,811507
2018-10-20,885815
2018-10-21,802543
2018-10-22,676075
2018-10-23,677231
2018-10-24,716141
2018-10-25,760140
